제목,내용,평점,좋아요 수
트랜스포머: 비스트의 서막,"짬이 차니 이제 변신은 대충하네
중간중간 오글거리는 대사 참기가 힘들다",3.0,12
정체,넌 이제 새로운 세상을 살수 있어,3.5,9
센티넬,"나름 쫄깃함
경호원 멋진 직업이야",3.0,8
보고타: 마지막 기회의 땅,외국 나가면 우리나라 사람이 제일 무서워,2.5,15
아마존 활명수,말도 안됨,2.0,16
베테랑2,흥미 요소 하나 없는 싱겁디 싱거운 이야기,2.5,23
도그데이즈,주인이 전부인 강아지들,3.0,17
마,일어나지 말아야 했을 과거에 대한 복수,3.0,16
외계+인 2부,"1편 보다는 볼만 했다
3편도 나오려나 보다",3.0,16
화란,암울하다 못 해 지하 깊숙히 빠지눈 인생들,3.0,21
찰리와 초콜릿 공장,인의예지신을 가르쳐 주는 영화,3.0,19
실종,"항싱 다음에 무언가 있지
그게 남자를 떠나게 해

말 타는거 배우고 싶다",3.5,14
캐리온,"포기 할 거야?
생각 보다 쫄깃함",3.5,25
6888 중앙우편대대,"90일만에 1700만 우편을 발송하다
놀랍다",3.0,21
유랑지구,"후반 1시간 동안 나의 손발이 오그라들어
없어지려한다",2.0,16
명당,"사람은 죽어도 땅은 영원한것
후대에 김좌근 같은 사람이 없을 수 있겠는가",3.0,17
그녀가 죽었다,여기서는 어떻게 몸매 관리하세요?,3.5,15
테넷,"현재와 미래의 충돌
현재와 운명의 충돌",3.0,22
범블비,B127에서 범블비로 불리게 된 이야기,3.0,21
샌 안드레아스,"지구가 열 받으면
인간들은 아무것도 못함",3.0,23
매복,"적들의 매복에 대항하는 이야기
사실에 기반한 내용",3.0,15
파일럿,어이가 없네?,1.0,16
스프린터,"노력, 집념, 반칙
세 사람의 이야기",3.5,19
패스터,피의 복수가 시작된다,3.0,16
레디 오어 낫,"무슨 문제죠?
시집이요.",3.0,44
화급,소방관 멋있어,3.0,13
침묵의 장소,"나쁘지 않은 연기
학폭 장면과 학교의 대응 모습은
참 역겹다",3.5,16
페르시아어 수업,2840명의 이름과 성을 알고있어요,3.5,19
베스트 오퍼,"중반까지 이게 왜 스릴러인지 몰랐다
사랑도 위조가 가능하다 생각하나요?",4.5,25
탈주,여기도 여러번 실패하면 답 없을텐데,3.0,17
무간도 3 - 종극무간,"미안하지만 난 경찰이야
벗어나지 못한 인연과 무간지옥",3.5,15
무간도 2 - 혼돈의 시대,너무 닮아서 혼돈스럽다,3.0,21
덤 머니,"헤지펀드들은
더 이상 어리석은 돈을 우습게 보지 않았다
부럽다",4.0,18
디스터비아,집이 크니 훔쳐 볼 거리가 많군,3.0,16
스턴트맨,"카메라 뒤에서 열일하는 스턴트맨을 위한
유쾌한 이야기",3.5,21
커브,"모르는데 잘생기고 이쁘다고
태우다간 큰일 납니다",2.5,17
던전 앤 드래곤: 도적들의 명예,난 실패의 챔피언이지,3.0,23
부기나이트,웃음 1g도 없음,1.0,12
소년들,"이미 알고 있던 사건
처벌 받은 검경이 없단게 참 우습다",3.5,15
더 문,"영화 시작 부터 신파의 냄새가 진하게 나더니
역시나",2.0,15
"전, 란","동무들 끼리 싸우지들 말어
놀다가세~~",2.5,19
쿵푸팬더 4,"변화를 두려워 하지 말라
하나 배우고 가요",2.5,16
탈출: 프로젝트 사일런스,개 보다 못한 인간들,2.0,19
나쁜 녀석들: 라이드 오어 다이,"사위가 더 멋진 격투를 보여준다
너무 연세 있으신거 아닌가",3.0,13
익스펜더블 4,"아주 전형적인 스토리구먼
무도에서 봤던 레슬링 기술이 나옴 ㅋ",3.0,15
레블 리지,소재는 참 좋은대 좀 지루하다,3.0,21
우는 남자,그러니깐 왜 총질을 함부로하니,2.5,13
고주일척,"도박의 무서움과
사기꾼들의 악랄함
실제 사건 배경",3.5,11
페인 앤 게인,믿기지 않겠지만 실화 입니다,3.0,14
부산,"헛웃음이 나올 정도로 말도 안되게 재미가 없다
돌팔이 의사가 이식 수술?  ㄷㄷ",0.5,15
유령,대를 이어 싸웠다,2.5,19
라스트 모히칸,호크아이 보다 칭카치국이 더욱 멋있다,2.5,16
미싱,"주연 배우들이 너무 연기를 잘한다
진심으로 미우를 찾길 바랬다
영화임에도 불구하고",4.0,16
10억,"출연진 화려하다
근데 제미없다",2.0,10
뜨거운 피,사망 플래그 세우는게 너무 티나죠,3.0,15
드라이브,1시갼에 6.5억이면 쉽게 버는거 아닌가?,1.5,19
무도실무관,"보호관찰관도 고생 많은 직업이구나
액션 볼만했음",3.0,26
태양은 없다,내가 원하는 태양은 도시에는 뜨지 않아,3.0,21
열혈남아,"건달은 시키면 다 하는거니께
난 미안한거 없어!!",2.5,11
샷 콜러,동물의 왕국에서 살아남기,3.0,12
키스 더 걸,거기서 아주 많은 목소리를 들었어요,3.0,12
스카이워커스: 사랑 이야기,저릿저릿하네,3.0,17
오블리비언,법규 샐리,2.5,17
램페이지,"아주 스트레이트한 이야기 구성
고릴라 주제 못하는 말이 없네",2.5,24
너와 나,"여운이 남는 영화
갔다. 올께.",4.0,28
원더랜드,"라인업이 장난 없네
잊혀질 권리를 지켜주자",2.5,14
초록물고기,"형 기억나?
내가 초록색 나는 물고기 잡으려고 했던거",3.5,22
고질라 마이너스 원,아 남주 연기가 너무 마이너스인데,2.0,26
맨 오브 스틸,"화려한 액션 볼만하다
지구가 꽤 튼튼하다",3.5,22
마담 웹,거미 줄도 못 쏴?,2.0,18
박쥐,결국 헤어나오지 못한 지옥,3.5,25
퍼시픽 림,"cg팀을 갈아 만들었으나
스토리가 넘 유치해 ㅠㅠ",2.0,16
크로스,"영화 참 쉽게 만드는 구먼
감독님 영화에서 떵 냄시 나요",2.0,32
킹스맨: 골든 서클,마약 근절 영화,3.0,26
킹스맨: 시크릿 에이전트,우와 머리 이쁘게 터진당,4.5,25
반지의 제왕 : 반지 원정대,"오크 사냥 ㄱㄱ
대서사의 시발점",3.5,21
파묘,친일파는 죽어서도 괴롭히는구먼,3.0,31
댓글부대,"뭐지? 만들다 만거 같은 엔딩은?
고소가 두려웠나?",2.5,25
아는 여자,"판타지 없는 사랑 이야기
이나영 미모 실화임?",3.0,15
취화선,"그대는 어떤 그릇이 나오길 원하는가?
불이 말하는 것이지요",4.0,19
피도 눈물도 없이,"그 시대 빠꾸없는 대본 ㄷㄷ
전도연 누나 겁나 맞네
역시 돈은 무서워",3.5,16
비버리 힐스 캅: 액셀 F,가족이 때로는 더 복잡할 때가 있지,2.5,12
넘버 3,"넘버원은 무슨
세상 다 삼류들이야",3.0,14
뮌헨,"나쁜놈들을 죽이면 뭐해?
더 나쁜놈으로 대체될 뿐인데",3.5,17
세븐,7가지 죄악 중 시기가 제일 잔인하군,3.5,24
글래스 하우스,"시원한 복수극
사채가 이렇게나 무섭다",3.0,16
베스트셀러,워스트셀러,2.0,16
박샤크,"제로가 뭔지 아십니까?
자극적인 뉴스만 보십시오
또 내일은 어디선가 다른 일이 벌어질테니까요",3.0,13
귀신이 산다,귀신보다 사람이 젤 무서운겨~~,2.5,13
오! 문희,반전도 재미가 없다,2.0,13
하울링,"울프독이 제일 잘 생겼어요
개는 사람에게 상처를 주지 않잖어",3.0,16
오로라 공주,엄정화의 처절한 연기가 돋보인다,3.0,14
가족이라서 문제입니다,"자식에게는 엄마이지만 다른 사람에게는
여자일 수 있어",2.5,22
트리거 워닝,"여주의 액션과 연기가 아쉽다
맞지 않는 옷을 입은듯

광산에서 아버지 죽음으로 부터 시작되는 이야기",2.5,15
위대한 쇼맨,제니 린드 노래는 정말 황홀하다,3.0,22
하울의 움직이는 성,"해피앤드라 이거군
줏대 없는 개님 같으니라고",2.5,19
이장과 군수,친구 : 가깝고 오래 사쉰 사이,3.0,15
씬,"현실과 판타지를 오가는데 많이 헷갈려요
초반엔 좋았는데 떡밥 회수가 아쉬움",1.5,19
신도들,야동 아닌가?,1.5,11
슬픔의 삼각형,"기생충이 생긱나는 영화다
인간군상 종합세트",3.5,26
히트맨,"교수인 남자가 살인 청부 업자 행세를
하면서 벌어지는 일에 대한 이야기

소신대로 살아라",3.0,15
고지전,"왜 싸우는지 분명히 알았는데 너무 오래 돼서
잊어 버렸어",4.0,16
센강 아래,"뻔한 결말은 아니네
상어 : 아무도 날 막을수 없으셈!!",3.0,20
바비,"주제를 전달하는 방식이 너무 유치한거 같은데
바비라 어쩔수 없나",2.0,19
